[11:037:07.014 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [11:037:07.274 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [11:038:08.439 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [11:3526:26.642 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [11:3526:26.822 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [11:3531:31.165 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [11:3532:32.724 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [11:3540:40.969 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/insertReply.bo?refBno=25&replyContent=zzz
] [11:3616:16.866 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/insertReply.bo?refBno=25&replyContent=testtest
] [11:4023:23.976 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [11:414:04.078 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [11:415:05.094 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [11:428:08.440 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [11:428:08.516 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [11:429:09.967 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [11:4224:24.504 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [11:4224:24.733 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [11:4225:25.382 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [11:4226:26.180 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [11:4231:31.136 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/insert?refBno=25&replyContent=TEST&replyWriter=%{loginUser.userNo}
] [11:4631:31.303 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [11:4631:31.462 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [11:4632:32.631 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [11:4633:33.469 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/24
] [11:4636:36.179 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/insert?refBno=24&replyContent=12341234&replyWriter=%{loginUser.userNo}
] [11:5054:54.467 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [11:5054:54.680 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [11:5057:57.658 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=충영&userPwd=1234&saveId=on
] [11:5057:57.784 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/main
] [11:5057:57.835 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [11:5059:59.094 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/list/N
] [11:5059:59.749 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/detail/N/25
] [11:511:01.991 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/reply/insert?refBno=25&replyContent=1&replyWriter=%{loginUser.userNo}
] [11:5358:58.777 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/detail/N/25
] [11:541:01.081 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/reply/insert?refBno=25&replyContent=123&replyWriter=3
] [12:1634:34.200 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [12:1634:34.381 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [12:1635:35.693 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [12:1636:36.814 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1636:36.862 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1642:42.874 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/9
] [12:1642:42.943 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=9
] [12:1646:46.133 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/24
] [12:1646:46.161 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=24
] [12:1648:48.962 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/1
] [12:1648:48.995 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=
] [12:1653:53.730 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1653:53.766 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1659:59.075 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/insert?refBno=25&replyContent=테스트&replyWriter=
] [12:1659:59.088 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:171:01.815 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:171:01.860 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:174:04.757 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [12:175:05.802 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:175:05.834 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1725:25.178 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/insert?refBno=25&replyContent=테스트&replyWriter=
] [12:1725:25.186 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1727:27.397 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [12:1728:28.204 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1728:28.239 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1729:29.918 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1729:29.946 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1730:30.641 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1730:30.667 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1739:39.428 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1739:39.466 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1834:34.924 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [12:1835:35.087 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [12:1835:35.941 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [12:1836:36.740 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1836:36.789 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1839:39.315 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/insert?refBno=25&replyContent=ㅋㅋ&replyWriter=
] [12:1839:39.330 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1841:41.298 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1841:41.331 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
